epoch,accuracy,loss,val_accuracy,val_loss
0,0.2984,2.210034335374832,0.5286,2.0969950828552246
1,0.6602333,1.9138274937868118,0.7509,1.6624859840869903
2,0.7755,1.353875252723694,0.812,1.0311950511932373
3,0.81553334,0.8514894050359726,0.8449,0.6812593466639518
4,0.84313333,0.6210020187199116,0.8677,0.5341100048124791
5,0.8626,0.5154261246770621,0.8805,0.4602996288090944
6,0.8742333,0.4572894859015942,0.8882,0.41584928838908675
7,0.8821,0.4202075136899948,0.8956,0.38643728440254926
8,0.88853335,0.3943380326777697,0.8999,0.36471648298949005
9,0.8929,0.37488715790212157,0.9045,0.34765352826565504
10,0.8965333,0.35924721747636795,0.9068,0.33446581791341307
11,0.9,0.3465305740982294,0.9094,0.3234048760607839
12,0.90246665,0.3360136575773358,0.9118,0.3133743239119649
13,0.9053,0.3266707708016038,0.9137,0.3064392795599997
14,0.9073667,0.31892308046668766,0.9157,0.29843599448725583
15,0.9091833,0.311786592155695,0.9168,0.29143065160512927
16,0.91106665,0.30543208622187373,0.9186,0.28562791931629183
17,0.9127167,0.2995977204442024,0.9198,0.28113059759885073
18,0.91385,0.2941198668554425,0.9207,0.27604734438657763
19,0.91531664,0.2891240584999323,0.9223,0.27116783932596444
20,0.91688335,0.2843351091518998,0.9229,0.2664271708726883
21,0.9180667,0.27973691099137066,0.9234,0.26240435188636185
22,0.91965,0.27544628670066595,0.9241,0.25884388308040795
23,0.9206,0.2712918949127197,0.9251,0.2550528172459453
24,0.9218,0.2672512758001685,0.9256,0.251155941400677
25,0.92315,0.2633786404058337,0.9263,0.24766539425589143
26,0.92441666,0.2596900514550507,0.9282,0.24389399304986
27,0.92543334,0.2560916830897331,0.9285,0.24116991782188416
28,0.9262,0.25256370796263217,0.9302,0.2373217200804502
29,0.92763335,0.24918954680860042,0.931,0.23461584222316742
30,0.92838335,0.24591658264771105,0.932,0.23167591010406613
31,0.92936665,0.24280126773938537,0.933,0.22839644848741592
32,0.9302,0.23978417560085655,0.9338,0.2259237500783056
33,0.93095,0.2368012885376811,0.9353,0.22332470076717437
34,0.93191665,0.2338778179511428,0.9352,0.22060930786654354
35,0.93261665,0.2310657743755728,0.9361,0.21872170122526585
36,0.93373334,0.22836045744270086,0.9367,0.21498503122106194
37,0.93435,0.2255912784822285,0.9373,0.21267689068056644
38,0.93516666,0.22299200588464738,0.9381,0.20999120045639574
39,0.93586665,0.22032466281950475,0.9391,0.20806878050044178
40,0.93686664,0.2178241922482848,0.9393,0.2059610849507153
41,0.93761665,0.21533098972961306,0.9413,0.20333166138269007
42,0.93841666,0.21302043100446463,0.9413,0.20070857758354396
43,0.9393167,0.21065042220428587,0.942,0.19859008131735026
44,0.93993336,0.2083410887233913,0.9429,0.1968183419816196
45,0.94035,0.20597739604115486,0.9433,0.19481993706151843
46,0.9411167,0.20373222537711264,0.944,0.1929987465571612
47,0.9417667,0.20151104620657861,0.9444,0.19082103529945016
48,0.9425333,0.19935838213562965,0.946,0.18879035096615554
49,0.94306666,0.19723548991978168,0.9459,0.18616348085179926
50,0.9436333,0.19519897004775702,0.946,0.18456230222806336
51,0.94413334,0.19317706605419516,0.9475,0.18363256855029614
52,0.94488335,0.19113336298987268,0.9474,0.18164529081899672
53,0.94521666,0.18921311243250966,0.9481,0.17922540475986898
54,0.94575,0.1872707878164947,0.9489,0.17777081523835658
55,0.9465,0.18536829325556756,0.9488,0.17622638311143965
56,0.94708335,0.18346268850192426,0.9498,0.17437237109150738
57,0.94748336,0.1817012011744082,0.9502,0.17296891808509826
58,0.94778335,0.1798957915212959,0.9503,0.17123162791505456
59,0.94855,0.17814205301366745,0.9504,0.16930889494437723
60,0.94881666,0.17636186315864325,0.9506,0.16835327245946974
61,0.9490833,0.17470799873769283,0.951,0.1664416583981365
62,0.94998336,0.17293590697459876,0.9517,0.16543255899567158
63,0.9500333,0.17142441967502237,0.9511,0.1632757894070819
64,0.95053333,0.1697426704093814,0.9524,0.16218636876065284
65,0.9512333,0.16813018389977516,0.953,0.16036398652289063
66,0.9512333,0.1665249210819602,0.9536,0.1588352199466899
67,0.9518167,0.16488741981983185,0.9529,0.1577392986472696
68,0.9522833,0.16336829639226197,0.9539,0.15674946097005157
69,0.9527,0.16186816848814486,0.9545,0.15455111629143356
70,0.95323336,0.1603381161671132,0.9533,0.15424274161551146
71,0.9535,0.15898363607749344,0.9542,0.15218485290324316
72,0.95395,0.15749885397031904,0.956,0.1508556519355625
73,0.95416665,0.15604051612876355,0.955,0.1505046167522669
74,0.9544,0.15470489395968617,0.956,0.14841405924083664
75,0.9550167,0.1532624978981912,0.9563,0.14774078984884545
76,0.95526665,0.15190246201120317,0.9563,0.14643903850251808
77,0.9559,0.1505793134905398,0.9571,0.14524698333116248
78,0.95641667,0.1492524163816124,0.9572,0.14405066759604962
79,0.95678335,0.147967487485148,0.9581,0.14225236594397575
80,0.9569833,0.14663755747303367,0.9591,0.14130138455424457
81,0.95755,0.14535098731517793,0.9582,0.14076134190894662
