epoch,accuracy,loss,val_accuracy,val_loss
0,0.24183333,2.267128008842468,0.3255,2.232096215248108
1,0.44495,2.1851050066947937,0.5494,2.1263165197372436
2,0.5835,2.0453518543243407,0.636,1.9382941451072693
3,0.65515,1.8695497579574585,0.6901,1.7789671392440796
4,0.70051664,1.6922465920448304,0.7252,1.5785253849029541
5,0.7331667,1.4808190467357636,0.7622,1.3518499598503113
6,0.7625833,1.2880006639957429,0.785,1.1868071296215057
7,0.78283334,1.1252761334180832,0.8069,1.0249540445804597
8,0.8006167,0.9740509414672851,0.8266,0.881954909324646
9,0.81701666,0.8451480849981308,0.8396,0.7650725412368774
10,0.8307667,0.7415794732570649,0.8492,0.6732136044502258
11,0.84108335,0.6604092189073563,0.8597,0.6021841782331466
12,0.85031664,0.5972986472845078,0.8682,0.5470553579330444
13,0.85871667,0.548070222556591,0.8735,0.5042154806256294
14,0.86583334,0.5092336770296096,0.8803,0.4708122438788414
15,0.8720667,0.478167376935482,0.8866,0.4430611166357994
